name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
Marcano,31,82,82,73K,1827,Left,3,3,2,CB,6'2,170lbs,25.5M
A. Guardado,31,82,82,35K,2146,Left,3,2,4,CM,5'7,148lbs,39.9M
E. Garay,31,82,82,44K,1896,Right,3,3,2,RCB,6'2,198lbs,31.5M
Jardel,32,82,82,17K,1687,Right,2,2,2,LCB,6'4,192lbs,25M
S. Sirigu,31,82,82,45K,1213,Right,3,2,1,GK,6'4,176lbs,23M
E. Viviano,32,82,82,15K,1169,Left,2,2,1,GK,6'5,198lbs,25M
L. Koscielny,32,82,82,115K,1807,Right,3,3,2,CB,6'1,165lbs,23.8M
A. Consigli,31,82,82,52K,1180,Right,2,3,1,GK,6'2,181lbs,23M
L. Biglia,32,82,82,98K,2104,Right,3,4,3,CDM,5'10,139lbs,21.3M
Dani Alves,35,82,82,62K,2197,Right,4,3,4,RB,5'8,150lbs,8.9M
David Villa,36,82,82,12K,1993,Right,3,5,4,ST,5'9,152lbs,12M
Aduriz,37,82,82,29K,1973,Right,3,3,3,ST,6'0,172lbs,16.8M
P. Čech,36,82,82,60K,1166,Left,4,3,1,GK,6'5,198lbs,5.7M
Casillas,37,82,82,10K,1308,Left,4,2,1,GK,6'1,185lbs,3M
M. Rashford,20,81,89,110K,2062,Right,2,4,4,LW,6'1,154lbs,55.4M
Laure Santeiro,30,81,81,40K,1853,Left,1,5,4,CAM,5'7,139lbs,32.3M
L. Bailey,20,81,89,54K,2011,Left,1,4,4,LM,5'10,174lbs,50.4M
M. Akanji,22,81,87,49K,1868,Right,2,3,2,LCB,6'2,187lbs,39.9M
F. de Jong,21,81,89,19K,2064,Right,1,3,4,LDM,5'11,154lbs,41.6M
Nélson Semedo,24,81,86,125K,2039,Right,2,3,4,RB,5'10,148lbs,42.5M
Pablo Fornals,22,81,86,36K,2071,Right,1,3,4,CAM,5'10,148lbs,52.2M
Fabián,22,81,89,64K,2094,Left,1,4,4,LM,6'2,154lbs,49.4M
E. Bailly,24,81,87,105K,1853,Right,2,3,2,CB,6'1,170lbs,43.1M
Dani Ceballos,21,81,88,120K,2059,Right,1,3,4,LCM,5'10,154lbs,56.3M
H. Lozano,22,81,86,22K,2019,Right,3,4,4,LS,5'9,154lbs,35.4M
Morales,30,81,81,33K,2084,Right,1,4,4,LS,5'11,154lbs,35.7M
J. Seri,26,81,82,73K,2128,Right,2,4,3,LDM,5'7,161lbs,40.5M
M. Politano,24,81,84,57K,1983,Left,2,4,4,RM,5'7,148lbs,
M. Brozović,25,81,84,64K,2149,Right,2,4,3,LDM,5'11,150lbs,32.8M
Williams,24,81,87,31K,2000,Right,2,3,4,LW,6'1,174lbs,56.4M
A. Correa,23,81,87,54K,2047,Right,1,4,4,RM,5'7,150lbs,55.1M
A. Christensen,22,81,88,91K,1717,Right,2,3,2,LCB,6'2,179lbs,44.1M
João Mário,25,81,84,71K,2055,Right,3,4,4,CAM,5'10,161lbs,39.9M
T. Strakosha,23,81,86,36K,1139,Right,1,2,1,GK,6'4,172lbs,30.2M
E. Hysaj,24,81,86,58K,1935,Right,2,3,3,RB,6'0,154lbs,35.5M
P. Zieliński,24,81,88,64K,2075,Right,3,5,4,RCM,5'11,165lbs,46.6M
Ricardo Pereira,24,81,85,64K,2127,Right,3,4,3,RB,5'9,154lbs,37.5M
Grimaldo,22,81,87,14K,2137,Left,3,2,3,LB,5'7,152lbs,45.1M
R. Guerreiro,24,81,86,54K,2146,Left,3,3,4,LM,5'7,157lbs,42.6M
A. Doucouré,25,81,85,60K,2081,Right,2,3,3,RDM,6'0,168lbs,38.5M
J. Martínez,25,81,84,14K,1917,Right,1,4,3,LS,5'7,152lbs,35.4M
C. Bacca,31,81,81,45K,1884,Right,3,2,3,LS,5'11,170lbs,33.6M
A. Plea,25,81,83,40K,2054,Right,2,3,4,LW,5'11,174lbs,39.1M
B. Davies,25,81,84,87K,2035,Left,2,3,3,LB,6'0,168lbs,35.6M
M. Nastasić,25,81,84,36K,1821,Left,2,2,2,LCB,6'2,183lbs,32.8M
A. Milik,24,81,88,71K,1937,Left,3,3,4,CF,6'1,172lbs,48.5M
M. Sabitzer,24,81,84,54K,2107,Right,2,4,3,LM,5'10,170lbs,39.9M
B. Mendy,23,81,86,105K,2038,Left,2,3,3,LB,6'1,187lbs,38.5M
C. Kramer,27,81,82,35K,1866,Right,2,3,3,CDM,6'3,168lbs,30.2M
S. Vrsaljko,26,81,84,57K,2069,Right,2,3,3,RB,5'11,168lbs,
T. Hazard,25,81,83,40K,2013,Right,2,3,4,RW,5'9,152lbs,38.2M
K. Bellarabi,28,81,81,76K,1956,Right,3,3,4,RM,6'0,179lbs,30.6M
S. Zaza,27,81,82,48K,2028,Left,2,3,4,RS,6'1,185lbs,
F. Ghoulam,27,81,82,68K,2114,Left,2,4,3,LB,6'0,176lbs,29.3M
B. Lecomte,27,81,84,27K,1114,Left,2,3,1,GK,6'1,172lbs,31.1M
J. Iličić,30,81,81,41K,1976,Left,3,3,4,CAM,6'3,174lbs,28.9M
K. Volland,25,81,83,76K,2079,Left,2,3,3,ST,5'10,187lbs,39.1M
Paco Alcácer,24,81,85,59K,1948,Right,2,4,3,ST,5'9,159lbs,41.7M
Vitolo,28,81,81,65K,2007,Right,2,4,3,LM,6'1,174lbs,36.9M
G. Xhaka,25,81,84,115K,1978,Left,3,2,3,LDM,6'1,181lbs,43.5M
D. Tadić,29,81,81,26K,1972,Left,3,2,4,LAM,5'11,168lbs,24.5M
C. Aránguiz,29,81,81,76K,2144,Right,2,4,3,LDM,5'7,154lbs,28.9M
S. Verdi,25,81,81,77K,2053,Left,2,5,4,RW,5'7,134lbs,33.2M
D. Lovren,28,81,82,115K,1726,Right,2,4,2,RCB,6'2,185lbs,31.6M
G. Medel,30,81,81,56K,1996,Right,3,4,3,RCB,5'7,143lbs,24.7M
X. Shaqiri,26,81,81,130K,2087,Left,3,4,5,CAM,5'7,159lbs,36.1M
J. Corona,25,81,83,18K,1993,Right,3,5,5,RM,5'8,137lbs,44.6M
A. Areola,25,81,85,61K,1266,Right,2,3,1,GK,6'5,207lbs,31.8M
K. Vogt,26,81,82,42K,1958,Right,2,3,2,CB,6'4,187lbs,31.1M
Ander Herrera,28,81,81,140K,2170,Right,3,4,3,CM,6'0,154lbs,32.4M
E. Salvio,27,81,81,19K,2141,Right,2,4,4,RW,5'8,170lbs,37M
S. El Shaarawy,25,81,82,77K,1913,Right,3,3,5,LM,5'10,159lbs,37.3M
C. Smalling,28,81,82,130K,1799,Right,3,3,2,RCB,6'4,179lbs,30.8M
Hulk,31,81,81,25K,2102,Left,4,3,4,RCM,5'11,187lbs,34.1M
S. Kagawa,29,81,81,65K,1948,Right,3,4,4,CAM,5'9,150lbs,29.8M
M. Lanzini,25,81,85,90K,1931,Right,2,3,4,CAM,5'6,130lbs,45.4M
F. Smolov,28,81,81,1K,1971,Right,1,4,4,ST,6'2,176lbs,38.9M
L. Stindl,29,81,81,43K,2129,Right,2,4,4,CF,5'11,176lbs,30.6M
O. Toprak,28,81,82,59K,1826,Right,3,4,2,CB,6'1,183lbs,28.4M
D. Perotti,29,81,81,84K,1959,Right,3,4,4,LW,5'10,154lbs,29.8M
F. Muslera,32,81,81,52K,1359,Right,3,2,1,GK,6'3,163lbs,19M
B. Höwedes,30,81,81,1K,1813,Right,3,3,2,RCB,6'2,170lbs,27.3M
S. Kjær,29,81,81,23K,1837,Right,3,3,2,RCB,6'2,185lbs,29.4M
S. Bender,29,81,81,69K,1868,Right,2,4,2,LCB,6'1,176lbs,23.8M
M. Valbuena,33,81,81,86K,1955,Right,3,3,3,LM,5'6,139lbs,20.9M
Pedro León,31,81,81,32K,1980,Right,2,3,4,RM,6'0,161lbs,32.6M
K. Boateng,31,81,81,65K,2168,Right,3,4,4,CM,6'1,190lbs,25.5M
L. Piszczek,33,81,81,57K,2128,Right,3,4,2,RB,6'0,174lbs,11.9M
A. Candreva,31,81,81,74K,2084,Right,3,4,4,RM,5'11,154lbs,26.4M
D. Wass,29,81,81,46K,2158,Right,2,3,4,RB,5'11,163lbs,35.7M
E. Lamela,26,81,82,105K,2100,Left,2,2,4,RM,6'0,176lbs,40.4M
D. Rose,27,81,81,92K,2094,Left,3,3,3,LB,5'9,168lbs,26.8M
C. Vela,29,81,81,15K,1986,Left,3,2,4,RW,5'10,170lbs,26.3M
Renato Augusto,30,81,81,28K,2090,Right,2,4,3,LCM,6'1,190lbs,36.3M
A. Valencia,32,81,81,120K,2142,Right,2,2,3,RM,5'11,183lbs,18.5M
L. Fabiański,33,81,81,70K,1212,Right,2,2,1,GK,6'3,183lbs,17.1M
João Moutinho,31,81,81,85K,2164,Right,3,4,3,RCM,5'7,134lbs,28.5M
Borja Valero,33,81,81,74K,2039,Right,3,4,4,CAM,5'9,161lbs,18.7M
F. Quagliarella,35,81,81,39K,1933,Right,2,4,4,RS,5'11,174lbs,13.6M
B. Gomis,32,81,81,56K,1891,Right,3,3,4,ST,6'0,170lbs,23.8M
Manuel Fernandes,32,81,81,1K,2157,Right,2,4,4,LM,5'9,165lbs,29.4M
H. Herrera,28,81,81,20K,2106,Right,3,4,3,CM,6'0,159lbs,35M
Raffael,33,81,81,41K,2038,Right,2,4,4,CF,5'9,152lbs,18.7M
Nani,31,81,81,19K,1970,Right,3,5,5,LM,5'10,150lbs,31M
J. Milner,32,81,81,120K,2126,Right,2,4,3,CM,5'9,154lbs,25.7M
J. Mathieu,34,81,81,18K,2048,Left,3,2,2,LCB,6'2,185lbs,11M
Joaquín,36,81,81,24K,1947,Right,2,3,4,LS,5'10,165lbs,12.6M
M. Gómez,21,80,85,25K,1806,Right,1,3,3,ST,6'1,185lbs,44.6M
K. Havertz,19,80,89,32K,1876,Left,1,5,4,CAM,6'2,183lbs,41.8M
T. Ndombele,21,80,89,51K,2096,Right,1,3,4,CM,5'11,168lbs,47.3M
H. Aouar,20,80,90,51K,2048,Right,1,4,4,LM,5'9,154lbs,49.4M
Carlos Soler,21,80,87,31K,2062,Right,1,4,4,RM,5'11,168lbs,48.3M
Odriozola,22,80,88,115K,1991,Right,1,3,3,RB,5'9,146lbs,41.6M
M. Almirón,24,80,84,11K,1988,Left,1,2,4,CAM,5'9,139lbs,30.7M
Welington Dano,30,80,80,34K,2068,Left,1,4,4,LB,5'10,152lbs,20M
Everton Andrão,34,80,80,34K,2050,Right,1,4,2,CDM,5'10,165lbs,8.5M
Oyarzabal,21,80,87,29K,1879,Left,1,3,3,CAM,5'11,172lbs,48.3M
F. Balbuena,26,80,83,80K,1667,Right,1,3,2,RCB,6'2,187lbs,30.6M
M. Marega,27,80,80,19K,1923,Right,2,3,2,RS,6'1,183lbs,32M
B. Pavard,22,80,86,33K,1965,Right,1,3,3,RB,6'1,168lbs,33.3M
W. Ndidi,21,80,85,50K,2086,Right,1,4,3,LDM,6'0,163lbs,33.6M
A. Onana,22,80,85,14K,1369,Right,2,3,1,GK,6'2,205lbs,21.4M
G. Lo Celso,22,80,86,72K,2105,Left,1,3,3,RCM,5'9,154lbs,
M. Acuña,26,80,80,16K,2265,Left,2,3,4,LB,5'8,152lbs,25M
Rúben Neves,21,80,87,59K,2098,Right,2,3,3,LCM,5'11,176lbs,43.1M
Mariano,24,80,85,140K,2041,Right,1,4,3,ST,5'11,168lbs,42.5M
Raúl,28,80,80,19K,1830,Left,1,3,2,CB,6'2,179lbs,24M
M. Caldara,24,80,86,73K,1647,Right,2,3,2,CB,6'2,176lbs,33.3M
M. Vecino,26,80,81,63K,2052,Right,2,3,4,LM,6'2,179lbs,25.7M
T. Bakayoko,23,80,85,85K,1928,Right,2,3,3,LCM,6'2,187lbs,
M. Dahoud,22,80,86,50K,2052,Right,2,4,4,CM,5'10,150lbs,38M
Rafa,25,80,83,17K,1886,Right,2,4,4,RW,5'8,146lbs,38.4M
K. Baldé,23,80,85,65K,1921,Right,2,4,4,RM,5'11,176lbs,
G. Rulli,26,80,85,26K,1264,Right,3,3,1,GK,6'2,185lbs,30.5M
F. Armani,31,80,80,22K,1224,Right,1,2,1,GK,6'2,194lbs,12.6M
Rony Lopes,22,80,85,65K,1878,Left,2,3,4,RM,5'9,150lbs,39.5M
Santi Mina,22,80,85,40K,2017,Right,1,4,3,LS,5'11,170lbs,43.5M
K. Demirbay,24,80,84,37K,2074,Left,2,4,4,RCM,6'0,159lbs,34.6M
Gayà,23,80,85,33K,2060,Left,2,3,3,LB,5'8,146lbs,35.9M
André Gomes,24,80,85,130K,2065,Right,3,4,4,LDM,6'2,185lbs,
N. Tagliafico,25,80,82,20K,2025,Left,2,2,3,LB,5'7,143lbs,22.1M
M. Sanson,23,80,85,47K,2169,Right,2,4,4,RDM,5'11,161lbs,38.5M
Pacheco,26,80,83,23K,1239,Left,1,2,1,GK,6'1,179lbs,28.3M
E. Can,24,80,85,91K,2153,Right,2,4,3,CM,6'0,181lbs,33.6M
H. Çalhanoğlu,24,80,84,89K,2085,Right,3,4,4,CAM,5'10,168lbs,34.6M
M. Ginter,24,80,82,28K,1901,Right,2,3,2,RWB,6'2,183lbs,27.5M
M. Keane,25,80,83,88K,1828,Right,2,3,2,RCB,6'3,181lbs,30.6M
L. Paredes,24,80,85,0,2122,Right,2,4,4,CM,5'11,165lbs,
T. Stepanenko,28,80,80,1K,2006,Left,1,3,3,RDM,5'11,168lbs,25.2M
L. Shaw,22,80,85,96K,2047,Left,2,2,3,LB,5'11,165lbs,31.8M
Z. Feddal,28,80,80,29K,1765,Left,1,2,2,CB,6'3,183lbs,25.2M
S. Haller,24,80,83,41K,1889,Right,1,2,3,RS,6'3,201lbs,33.7M
Bernard,25,80,81,97K,1917,Right,2,4,4,LM,5'5,132lbs,34.6M
T. Inui,30,80,80,30K,1974,Right,1,4,4,LM,5'7,139lbs,29.4M
Portu,26,80,81,37K,2096,Right,1,4,3,RM,5'10,154lbs,38.1M
M. Batshuayi,24,80,84,105K,1881,Right,2,5,4,ST,6'1,172lbs,
E. Zahavi,30,80,80,24K,2006,Right,1,4,4,LS,6'0,157lbs,31.2M
T. Vaclík,29,80,81,17K,1223,Right,1,3,1,GK,6'2,187lbs,25M
N. Pope,26,80,83,48K,1215,Right,1,3,1,GK,6'7,168lbs,25.7M
Héctor Bellerín,23,80,85,85K,1990,Right,3,3,3,RB,5'10,163lbs,32.6M
P. Kadeřábek,26,80,81,39K,1987,Right,2,2,3,RWB,6'0,179lbs,24.9M
J. Butland,25,80,85,39K,1338,Right,2,3,1,GK,6'5,209lbs,27.7M
J. Vestergaard,25,80,81,51K,1700,Right,2,4,2,CB,6'6,216lbs,28.6M
J. Tarkowski,25,80,83,56K,1858,Right,1,4,2,RCB,6'4,179lbs,30.6M
Deulofeu,24,80,82,56K,1926,Right,3,4,4,RS,5'10,161lbs,36.5M
E. Dier,24,80,84,73K,2033,Right,2,3,2,CDM,6'2,198lbs,31.8M
J. Murillo,26,80,84,38K,1847,Right,2,2,2,LCB,6'0,172lbs,34.8M
M. Badelj,29,80,80,53K,2017,Right,2,4,3,CDM,6'1,176lbs,19.6M
Ismaily,28,80,80,1K,2073,Left,1,2,4,LB,5'10,181lbs,24.2M
N. Schulz,25,80,81,37K,1988,Left,1,2,3,LWB,5'11,172lbs,25.7M
L. Digne,24,80,84,79K,2067,Left,2,3,4,LB,5'10,163lbs,31.6M
M. Uth,26,80,81,42K,1943,Left,1,3,3,ST,6'1,159lbs,31.1M
Cristian Tello,26,80,80,30K,1940,Right,2,4,3,LM,5'10,143lbs,33.6M
D. Vida,29,80,80,55K,1816,Right,3,3,2,LCB,6'0,168lbs,21.9M
L. Muriel,27,80,81,24K,1909,Right,2,4,4,ST,5'10,174lbs,38.1M
V. Aboubakar,26,80,82,19K,1994,Right,3,3,5,ST,6'0,181lbs,37.4M
A. Oxlade-Chamberlain,24,80,85,94K,2125,Right,2,4,4,CM,5'9,154lbs,38.5M
S. Aurier,25,80,83,82K,2091,Right,2,3,3,RB,5'9,168lbs,29.8M
J. Matip,26,80,82,99K,1846,Right,2,2,2,CB,6'4,198lbs,29.6M
Y. Rakitskyi,28,80,80,1K,2113,Left,2,3,3,LCB,6'1,183lbs,25.2M
Sergi Enrich,28,80,80,34K,1926,Right,2,4,3,RS,5'11,170lbs,32.6M
A. Yarmolenko,28,80,80,92K,2022,Left,3,2,4,RM,6'3,183lbs,28.5M
Hugo Mallo,27,80,81,27K,1905,Right,2,3,3,RB,5'9,159lbs,29.4M
André Almeida,27,80,80,15K,2024,Right,2,3,3,RB,6'1,176lbs,24M
D. Didavi,28,80,80,44K,2056,Left,2,3,3,CAM,5'11,170lbs,25.5M
R. Rodríguez,25,80,83,81K,2178,Left,3,3,4,LB,5'11,170lbs,27.5M
R. Pereyra,27,80,80,65K,2052,Right,2,4,4,LM,6'0,170lbs,29.5M
Mario Gaspar,27,80,80,35K,2081,Right,2,3,3,RB,6'0,163lbs,25.2M
Maicon,29,80,80,63K,1873,Right,2,3,2,CB,6'3,196lbs,21.9M
D. Blind,28,80,80,22K,2075,Left,3,4,3,LB,5'11,159lbs,16.8M
J. Zoet,27,80,83,16K,1291,Right,2,4,1,GK,6'2,194lbs,18.4M
A. Ljajić,26,80,81,52K,1933,Right,2,4,4,CAM,6'0,163lbs,
Canales,27,80,80,30K,1875,Left,2,3,3,RCM,5'11,163lbs,32.6M
Iago Falqué,28,80,80,59K,1951,Left,3,3,4,RW,5'9,152lbs,25.5M
L. de Jong,27,80,80,23K,1925,Right,2,3,2,ST,6'2,190lbs,22.4M
Guaita,31,80,80,48K,1361,Right,2,3,1,GK,6'3,176lbs,17.1M
Muniain,25,80,83,31K,1977,Right,2,3,4,CAM,5'7,139lbs,40.2M
Susaeta,30,80,80,33K,1971,Right,2,3,4,RW,5'10,150lbs,29.4M
S. Rudy,28,80,80,37K,2118,Right,2,3,3,CDM,5'10,163lbs,20.4M
K. Trapp,27,80,81,61K,1191,Right,2,4,1,GK,6'2,190lbs,
V. Wanyama,27,80,82,86K,2043,Right,2,3,2,CDM,6'0,192lbs,27.9M
N. Nkoulou,28,80,80,50K,1878,Right,3,3,3,CB,6'0,170lbs,20.4M
R. Boudebouz,28,80,80,31K,2004,Left,2,4,4,CAM,5'10,163lbs,31.5M
Camacho,28,80,81,51K,2005,Right,2,3,2,CDM,6'0,165lbs,24M
S. Ulreich,29,80,80,61K,1137,Right,2,2,1,GK,6'4,185lbs,16.5M
M. Musacchio,27,80,80,85K,1892,Right,3,3,3,RCB,5'11,161lbs,21.3M
C. Stuani,31,80,80,41K,2018,Right,1,3,4,ST,6'1,159lbs,28.4M
P. Gulácsi,28,80,80,45K,1223,Right,2,2,1,GK,6'4,190lbs,17.9M
Bruno,34,80,80,39K,1967,Left,3,3,3,CM,6'0,161lbs,14.7M
F. Delph,28,80,80,120K,2137,Left,2,3,3,LB,5'9,172lbs,21.3M
A. Lallana,30,80,80,110K,2086,Right,3,5,4,CM,5'10,161lbs,25.7M
Marcelo,31,80,80,64K,1792,Right,2,2,2,RCB,6'3,187lbs,19M
S. Coleman,29,80,80,97K,2065,Right,2,3,3,RWB,5'10,148lbs,20.9M
Alexandre Pato,28,80,80,35K,1944,Right,3,3,4,ST,5'11,179lbs,33.3M
Antunes,31,80,80,27K,2149,Left,2,3,3,LB,5'9,152lbs,20M
Nacho Monreal,32,80,80,99K,2011,Left,2,3,3,LB,5'10,159lbs,15.2M
Beñat,31,80,80,30K,2071,Right,2,3,3,LCM,5'10,168lbs,26.3M
A. Fernández,32,80,80,20K,2068,Right,2,3,4,LDM,5'10,161lbs,23.7M
K. Gameiro,31,80,80,45K,2037,Right,3,3,3,ST,5'8,154lbs,28.4M
I. Piatti,33,80,80,13K,2074,Right,2,4,5,LW,5'11,168lbs,13.5M
V. Birsa,31,80,80,23K,2015,Left,2,4,4,CAM,6'0,179lbs,22.1M
S. Romero,31,80,80,91K,1251,Right,3,3,1,GK,6'4,192lbs,16.7M
D. Criscito,31,80,80,21K,2123,Left,2,3,3,LCB,6'0,165lbs,17M
D. Valeri,32,80,80,12K,2009,Right,2,3,3,RF,5'10,165lbs,17.3M
D. Sturridge,28,80,80,125K,1837,Left,3,2,4,ST,5'11,168lbs,29.5M
Raúl García,31,80,80,30K,2165,Right,2,3,4,CAM,6'0,185lbs,27.3M
S. Defour,30,80,80,65K,2138,Right,2,3,3,LCM,5'9,159lbs,25.7M
M. Škrtel,33,80,80,68K,1640,Right,3,2,2,LCB,6'3,179lbs,11.4M
S. Radu,31,80,80,51K,1964,Left,2,3,3,LCB,6'0,174lbs,17M
G. Cahill,32,80,80,99K,1754,Right,3,3,2,CB,6'4,194lbs,15.7M
L. Diarra,33,80,80,75K,1968,Right,3,3,3,CDM,5'9,163lbs,11.1M
L. Perrin,32,80,80,37K,1977,Right,2,3,2,RCB,5'11,176lbs,16.2M
Dante,34,80,80,37K,1820,Left,3,4,2,CB,6'2,187lbs,8.5M
A. Granqvist,33,80,80,0,1797,Right,2,4,2,LCB,6'4,185lbs,
A. Gignac,32,80,80,70K,1992,Right,3,3,3,ST,6'2,201lbs,19.2M
M. Gómez,32,80,80,46K,1806,Right,3,4,3,LS,6'2,196lbs,20.4M
I. Akinfeev,32,80,80,1K,1208,Right,3,3,1,GK,6'1,172lbs,18.7M
I. Denisov,34,80,80,1K,2044,Right,2,3,3,RDM,5'9,154lbs,9.4M
Juanfran,33,80,80,53K,2053,Right,3,3,3,RB,5'11,157lbs,11.3M
Diego López,36,80,80,17K,1188,Right,3,3,1,GK,6'5,196lbs,4.2M
Santi Cazorla,33,80,80,39K,2025,Right,3,5,5,LCM,5'6,146lbs,17.9M
Jesús Navas,32,80,80,22K,2048,Right,2,2,3,RM,5'7,132lbs,24.2M
J. Mascherano,34,80,80,20K,1973,Right,4,3,2,LDM,5'9,161lbs,9.7M
A. Mirante,34,80,80,51K,1199,Right,2,2,1,GK,6'4,174lbs,10.2M
D. Srna,36,80,80,27K,2204,Right,3,4,3,RB,5'10,172lbs,2.9M
B. Schweinsteiger,33,80,80,11K,2093,Right,4,3,3,LCB,6'0,174lbs,8.7M
Moyá,34,80,80,26K,1187,Right,2,2,1,GK,6'2,183lbs,12.6M
W. Rooney,32,80,80,13K,2126,Right,4,4,3,ST,5'9,183lbs,18M
Fernando Torres,34,80,80,10K,1885,Right,3,4,3,LS,6'1,174lbs,10M
S. Sorrentino,39,80,80,10K,1178,Right,2,3,1,GK,6'1,187lbs,1.7M
V. Tsygankov,20,79,86,1K,1919,Left,1,4,4,RM,5'10,152lbs,41.4M
Rúben Dias,21,79,85,10K,1641,Right,1,4,2,RCB,6'1,181lbs,33M
David Neres,21,79,86,18K,1884,Left,2,3,5,RW,5'9,146lbs,28.8M
Raphinha,21,79,86,13K,2018,Left,1,3,4,RM,5'9,150lbs,39.6M
A. Harit,21,79,86,27K,1870,Right,2,4,5,LCM,5'11,148lbs,34.2M
Richarlison,21,79,86,79K,2009,Right,1,5,4,ST,5'11,154lbs,37.8M
L. Martínez,20,79,86,54K,1892,Right,1,4,4,ST,5'9,174lbs,34.2M
F. Kessié,21,79,88,24K,2149,Right,2,4,3,CM,6'0,168lbs,
Luimo Boas Santos,30,79,79,26K,1895,Right,1,4,4,ST,5'9,161lbs,22.8M
Gabri Prestão,26,79,79,24K,1153,Right,1,3,1,GK,6'1,176lbs,17.1M
Melvin Parrela,30,79,79,20K,2099,Right,1,3,2,LCM,6'2,194lbs,18.1M
Antônio Chiamuloira,30,79,79,30K,1813,Left,1,3,2,CB,6'0,174lbs,18.1M
Maikel Catarino,34,79,79,38K,1953,Right,1,3,3,RB,5'10,165lbs,6.8M
A. Lunev,26,79,81,0,1217,Right,1,3,1,GK,6'2,176lbs,
André Silva,22,79,87,84K,1957,Right,2,3,4,ST,6'1,174lbs,
C. Pulisic,19,79,87,26K,1925,Right,3,4,4,RM,5'10,152lbs,34.2M
M. Dmitrović,26,79,80,21K,1210,Left,1,2,1,GK,6'4,198lbs,21.8M
L. Tousart,21,79,84,43K,1949,Right,2,3,3,RDM,6'1,183lbs,28.6M
Marcos Llorente,23,79,87,110K,1869,Right,1,3,3,CDM,6'0,161lbs,36M
B. Verbič,24,79,81,1K,1978,Right,1,3,4,LM,5'10,154lbs,33.7M
S. Bergwijn,20,79,86,17K,1930,Right,1,2,4,LW,5'10,172lbs,28.8M
A. Diallo,22,79,86,43K,1876,Left,2,3,3,LCB,6'1,174lbs,28.5M
A. Golovin,22,79,85,61K,2107,Right,1,4,4,CAM,5'11,152lbs,35.7M
M. Campaña,29,79,80,21K,1243,Right,1,3,1,GK,6'1,165lbs,14.8M
C. Pavón,22,79,85,27K,2030,Right,1,3,3,RW,5'9,172lbs,28M
K. Toko-Ekambi,25,79,80,38K,1878,Right,2,4,3,LS,6'1,163lbs,32.6M
Granell,29,79,79,37K,2052,Left,1,4,3,LWB,5'9,154lbs,25.2M
F. Cervi,24,79,84,15K,1996,Left,2,3,5,LW,5'5,137lbs,35.3M
J. Weigl,22,79,84,43K,1918,Right,3,3,3,CDM,6'1,159lbs,25.7M
V. Lindelöf,23,79,85,91K,1943,Right,2,3,3,CB,6'2,176lbs,29.7M
A. Rebić,24,79,82,39K,1987,Right,1,3,3,CAM,6'1,172lbs,28.4M
A. Sanabria,22,79,85,27K,1894,Right,1,4,4,ST,5'11,163lbs,40.3M
R. Battaglia,26,79,80,17K,2030,Right,1,4,3,CM,6'2,174lbs,30.1M
M. Philipp,24,79,84,53K,1974,Right,2,4,4,ST,6'0,174lbs,30.2M
A. Saint-Maximin,21,79,86,31K,1823,Right,2,4,4,RS,5'8,148lbs,37.8M
D. Zappacosta,26,79,81,94K,2069,Right,2,3,3,RB,6'0,159lbs,24.1M
L. Alario,25,79,82,67K,1834,Right,2,3,3,ST,6'0,172lbs,28.4M
D. Benedetto,28,79,79,32K,1955,Right,2,5,3,ST,5'10,176lbs,18.2M
I. Marcone,28,79,80,31K,1915,Right,1,3,3,RDM,6'0,183lbs,20.4M
J. Gbamin,22,79,84,26K,2037,Right,1,3,3,RCM,6'1,183lbs,27.2M
J. Lerma,23,79,84,55K,2096,Right,1,4,3,RCM,5'10,154lbs,28.6M
Ricardo Horta,23,79,84,16K,1983,Right,1,4,3,LM,5'8,139lbs,35.3M
R. Zobnin,24,79,86,1K,2056,Right,1,3,4,LDM,6'0,165lbs,34.5M
M. Meyer,22,79,83,53K,2018,Right,2,4,4,LM,5'8,150lbs,31.6M
Bruma,23,79,83,48K,1957,Right,2,4,4,LW,5'8,154lbs,29.3M
R. Centurión,25,79,81,25K,1935,Right,1,3,4,RM,5'9,163lbs,24.4M
Jonny,24,79,83,43K,1928,Right,2,3,3,LWB,5'7,154lbs,
Otávio,23,79,85,15K,1963,Right,1,3,4,RM,5'8,157lbs,38.5M
J. Hofmann,25,79,80,32K,1913,Right,2,4,3,CAM,5'9,154lbs,26.6M
N. Aké,23,79,84,55K,1969,Left,1,3,2,CB,5'11,165lbs,28.6M
J. Hector,28,79,79,26K,2049,Left,3,3,3,LWB,6'1,165lbs,15M
S. Kolašinac,25,79,82,89K,1937,Left,2,2,3,LB,6'0,187lbs,25.7M
G. Pizarro,28,79,79,58K,1995,Right,1,3,3,LDM,6'1,163lbs,16M
Roger,27,79,80,32K,1933,Right,2,3,3,RS,5'10,163lbs,31.5M
Sergio Rico,24,79,83,13K,1204,Right,2,3,1,GK,6'4,194lbs,
L. Milivojević,27,79,81,56K,2045,Right,1,2,2,RCM,6'1,176lbs,24.7M
D. Baselli,26,79,82,49K,2097,Right,2,3,4,CDM,6'0,154lbs,27.5M
K. Rekik,23,79,83,26K,1781,Left,1,2,2,CB,6'1,174lbs,24.9M
